차트,순번,제목,태그/설명,상세_장르,줄거리,총회차,URL
인기,1,국가권력급 상속자가 돌아왔다,참교육,재벌· · 반전· · 사이다,세계 10대 기업 GX그룹의 유일한 상속자이자 국방부 장관의 아들인 최산. 그는 여자친구 지수의 눈앞에서 의문의 사고로 3년간,63,https://www.vigloo.com/ko/video/15001189?episode=1
인기,2,천재 아기의 인생 역전,참교육,환생· · 반전· · 사이다,"친부와 새엄마 때문에 억울한 누명을 쓰고 교도소에서 숨진 도혁. 눈을 떠보니 2015년, 10살 꼬마로 돌아와 있다. 주식부터 ...",76,https://www.vigloo.com/ko/video/15001849?episode=1
인기,3,장녀 결혼 일기,초고속결혼,로맨스· · 재벌· · 사이다,"가난한 토스트 가게 주인 선영은 길가에 쓰러진 은하를 도와준 인연으로, 은하의 오빠이자 경비원이라 소개받은 태성과 갑작스레 결혼",71,https://www.vigloo.com/ko/video/15000728?episode=1
인기,4,비서할래 와이프할래?,선결혼후연애,로맨스· · 코미디,할머니 수술비가 필요했던 박하은은 1년간 결혼 신분을 빌려주는 계약 결혼을 하기로 한다. 하지만 우연히 결혼 상대가 바뀌게 되어,80,https://www.vigloo.com/ko/video/15001355?episode=1
인기,5,타임리프 로맨스: 은밀한 복수,시간여행,로맨스· · 판타지· · 운명,남편 진호와 친구 예린의 불륜을 목격한 하나는 예린에게 살해당하지만 10년 전 과거로 회귀한다. 복수를 결심한 하나는 예린의 약,71,https://www.vigloo.com/ko/video/15000140?episode=1
인기,6,모쏠지옥,고자극,로맨스· · 리얼리티· · 드라마,"친구에게 속아 연애서바이벌 <핫연애존>에 입주한 솔지, 쉴 틈 없이 이어지는 고자극 스킨십 미션에 정신이 없다. 어쩌다 보니 첫",53,https://www.vigloo.com/ko/video/15001786?episode=1
인기,7,오늘 한류스타와 이혼하겠습니다,이혼,로맨스· · 배신· · 걸크러쉬,대한민국 최고의 한류스타 최현과 비밀 결혼을 한 강혜인. 철저히 숨겨진 결혼 생활 속에서 혜인은 멸시와 배신을 홀로 견뎌온다.,70,https://www.vigloo.com/ko/video/15000826?episode=1
인기,8,뚱보 아내는 조폭 마누라,불륜,환생· · 걸크러쉬· · 사이다,"대통령 후보 현우의 아내 지애는 남편의 내연녀 채원의 계략으로 죽음의 위기에 처한다. 그 순간, 사고로 죽은 전설적인 조폭 여보",75,https://www.vigloo.com/ko/video/15001651?episode=1
인기,9,수상한 남편의 이중생활,로맨틱한,로맨스· · 재벌· · 반전,"재벌가 후계자 자리를 박차고 나와 택시기사, 정육점, 택배기사로 ‘쓰리 잡’을 뛰며 살아가던 강현우. 5년 전 어느 날 하룻밤을",72,https://www.vigloo.com/ko/video/15001753?episode=1
인기,10,뽀삐가 재벌남으로 돌아왔다,로코,로맨스· · 판타지· · 코미디,“저예요 주인님.” 어느날 세라를 찾아온 재벌 2세 차우진. 목줄을 한 채 문을 두드리는 그의 눈이 왠지 얼마전 하늘로 간 뽀삐,59,https://www.vigloo.com/ko/video/15001884?episode=1
