랭킹,제목,랭킹_태그,상세_장르,줄거리,총회차,URL
,천재 아기의 인생 역전,"참교육, 비밀신분, 타임루프, 배신",환생·,"친부와 새엄마 때문에 억울한 누명을 쓰고 교도소에서 숨진 도혁. 눈을 떠보니 2015년, 10살 꼬마로 돌아와 있다. 주식부터 ...",76,https://www.vigloo.com/ko/video/15001849?episode=1
,수상한 남편의 이중생활,"로맨틱한, 원나잇, 재벌, 언더커버",로맨스·,"재벌가 후계자 자리를 박차고 나와 택시기사, 정육점, 택배기사로 ‘쓰리 잡’을 뛰며 살아가던 강현우. 5년 전 어느 날 하룻밤을",72,https://www.vigloo.com/ko/video/15001753?episode=1
,닿을 수 있는 그녀,"초고속결혼, 재벌, 로맨틱한",로맨스·,강씨 가문의 양녀 강유진은 가족의 지시로 향한 호텔에서 여자 알러지가 있는 성원그룹 대표 신하성과 얽히며 인생이 뒤바뀐다. 오,81,https://www.vigloo.com/ko/video/15001453?episode=1
,뚱보 아내는 조폭 마누라,"불륜, 복수, 사이다, 빙의, 정치",환생·,"대통령 후보 현우의 아내 지애는 남편의 내연녀 채원의 계략으로 죽음의 위기에 처한다. 그 순간, 사고로 죽은 전설적인 조폭 여보",75,https://www.vigloo.com/ko/video/15001651?episode=1
,비서할래 와이프할래?,"선결혼후연애, 오피스, 로코, 재벌",로맨스·,할머니 수술비가 필요했던 박하은은 1년간 결혼 신분을 빌려주는 계약 결혼을 하기로 한다. 하지만 우연히 결혼 상대가 바뀌게 되어,80,https://www.vigloo.com/ko/video/15001355?episode=1
,국가권력급 상속자가 돌아왔다,"참교육, 재벌, 반전, 복수, 극적인",재벌·,세계 10대 기업 GX그룹의 유일한 상속자이자 국방부 장관의 아들인 최산. 그는 여자친구 지수의 눈앞에서 의문의 사고로 3년간,63,https://www.vigloo.com/ko/video/15001189?episode=1
,모쏠지옥,"고자극, 청춘물, 연상연하, 키스",로맨스·,"친구에게 속아 연애서바이벌 <핫연애존>에 입주한 솔지, 쉴 틈 없이 이어지는 고자극 스킨십 미션에 정신이 없다. 어쩌다 보니 첫",53,https://www.vigloo.com/ko/video/15001786?episode=1
,타임리프 로맨스: 은밀한 복수,"시간여행, 복수, 불륜, 고자극",로맨스·,남편 진호와 친구 예린의 불륜을 목격한 하나는 예린에게 살해당하지만 10년 전 과거로 회귀한다. 복수를 결심한 하나는 예린의 약,71,https://www.vigloo.com/ko/video/15000140?episode=1
,장녀 결혼 일기,"초고속결혼, 재벌, 신데렐라",로맨스·,"가난한 토스트 가게 주인 선영은 길가에 쓰러진 은하를 도와준 인연으로, 은하의 오빠이자 경비원이라 소개받은 태성과 갑작스레 결혼",71,https://www.vigloo.com/ko/video/15000728?episode=1
,오늘 한류스타와 이혼하겠습니다,"이혼, 삼각관계, 사이다",로맨스·,대한민국 최고의 한류스타 최현과 비밀 결혼을 한 강혜인. 철저히 숨겨진 결혼 생활 속에서 혜인은 멸시와 배신을 홀로 견뎌온다.,70,https://www.vigloo.com/ko/video/15000826?episode=1
