video_id,title,published_at,duration,duration_seconds,view_count,like_count,comment_count,content_type,collected_at,like_rate,comment_rate
GiFSqeMCyoQ,알바생이 너무 예뻐요 [봉주르빵집],2026-05-16T08:10:00Z,PT1M30S,90,2249,30,2,longform,2026-05-16T09:02:17.004708+00:00,1.333926189417519,0.08892841262783459
t2k59GVbelY,재능이 남다른 직원들 [봉주르빵집] 2화 하이라이트,2026-05-16T08:01:01Z,PT5M23S,323,296,21,2,longform,2026-05-16T09:02:17.004812+00:00,7.094594594594595,0.6756756756756757
ElmwGzX4ODk,내 학생은 내가 지킨다 [로맨스의 절댓값],2026-05-16T07:20:00Z,PT1M31S,91,2432,36,3,longform,2026-05-16T09:02:17.004827+00:00,1.4802631578947367,0.12335526315789473
3lZakE-KuUY,우리 담임선생님 멋있죠 ?  [로맨스의 절댓값],2026-05-16T07:10:00Z,PT1M5S,65,3086,44,3,longform,2026-05-16T09:02:17.004839+00:00,1.425793907971484,0.09721322099805574
vOMssyC3bxs,선생님 팔에 그림이 있다… 🫣🎨 [로맨스의 절댓값],2026-05-16T07:00:46Z,PT4M58S,298,2201,121,9,longform,2026-05-16T09:02:17.004853+00:00,5.497501135847342,0.408905043162199
hm1vDZ3MwlU,트렌드세터 머스마 권혁수랑 이정은 배우님 모실게여 🙏ㅣ5월 16일 (토) 저녁 8시,2026-05-16T02:00:37Z,PT1M20S,80,2771,54,5,longform,2026-05-16T09:02:17.004865+00:00,1.9487549621075424,0.18044027426921688
OjXGGm1qEso,아궁빵도 주는 빵집이 있다? [봉주르빵집],2026-05-15T07:00:16Z,PT28S,28,8778,229,14,shortform,2026-05-16T09:02:17.004875+00:00,2.608794714057872,0.1594896331738437
U4NVmrDX-Uw,위기의 순간 나타난 담임 선생님 😣 [로맨스의 절댓값],2026-05-15T04:00:28Z,PT2M33S,153,31265,605,26,longform,2026-05-16T09:02:17.004885+00:00,1.9350711658403967,0.08316008316008316
_FnTDX0RE4E,우린 친구였어 💘 1탄 [로맨스의 절댓값],2026-05-14T12:00:53Z,PT6M54S,414,6563,186,16,longform,2026-05-16T09:02:17.004895+00:00,2.834069785159226,0.24379094926100867
iOTcEthpcz0,공감되는 학교 생활ㅋㅋㅋ [로맨스의 절댓값],2026-05-14T11:01:10Z,PT53S,53,17321,316,6,shortform,2026-05-16T09:02:17.004904+00:00,1.8243750360833673,0.03464003233069684
Soq8eOoDBLo,CNN이 주목한 K-신드롬의 실체! [케이-에브리띵] 예고편,2026-05-14T08:00:34Z,PT1M2S,62,5405,99,30,longform,2026-05-16T09:02:17.004913+00:00,1.8316373728029602,0.5550416281221091
