channel_name,video_id,title,duration_seconds,format_type,view_count,like_count,comment_count,like_rate,comment_rate
빠더너스,ET_aHj-hxcw,안 해봤다고?,27,shortform,6350,25,2,0.3937,0.0315
빠더너스,EPhi9C6NZRY,다들 무슨 이모티콘 써?,31,shortform,5484,29,2,0.5288,0.0365
빠더너스,nu_F1xVxJwE,엄태구와 오지 않는 까눌레를 기다리며,1644,longform,13423,611,86,4.5519,0.6407
빠더너스,m45NkEvNRDI,게임하면서 이거 참기 가능?,50,shortform,12940,117,3,0.9042,0.0232
빠더너스,SFQxc438a2g,문상훈이 알려주는 쫄보를 위한 공포게임 꿀팁,91,longform,32678,704,9,2.1544,0.0275
빠더너스,TYJOzT8VMVY,"역대급으로 기괴하고 찝찝하다는 공포게임 'No, I'm Not A Human' 도전기",1530,longform,66446,1469,89,2.2108,0.1339
빠더너스,24hputvdV1M,요즘 학교 현실,98,longform,70079,785,75,1.1202,0.107
빠더너스,v_aKsH-hguk,요즘 인싸 생일파티 특,32,shortform,195417,636,19,0.3255,0.0097
빠더너스,l4UQ_yScFmI,오당기 아시는 분 계신가요?,31,shortform,71044,378,25,0.5321,0.0352
빠더너스,lM91n_cmLQ4,뭔가 잘못돼도 한참 잘못됨,36,shortform,35516,167,5,0.4702,0.0141
빠더너스,DrSQlVEdl84,전라도 친구 별명 추천,26,shortform,155790,565,38,0.3627,0.0244
빠더너스,Ah3zmirJLmc,"문상훈 전참시 출연, 프로페셔널한(?) 모습 최초 공개!",1547,longform,138650,2140,254,1.5435,0.1832
빠더너스,vo37rhZ5zCY,박지훈+연시은+단종+강성재,58,shortform,96654,1900,35,1.9658,0.0362
빠더너스,upGU1zgUyO4,박지훈 첫 악역 최초 공개,65,longform,359272,6087,86,1.6943,0.0239
빠더너스,3zyAAa30dj0,전교생 중 가장 사연 많아보임,41,shortform,117491,1343,21,1.1431,0.0179
빠더너스,-SEMnleggBA,왕이 되어 돌아온 졸업생 (박지훈),642,longform,517642,22526,1848,4.3517,0.357
빠더너스,4UJ73wNsFeU,있을 법한 일이라 더 무서운 룸메이트 괴담 모음 [문쌤 라디오],2503,longform,557943,7536,373,1.3507,0.0669
빠더너스,8yXxbiePOpM,고소공포증이 184m 높이 올라가면 일어나는 일,50,shortform,50452,272,14,0.5391,0.0277
빠더너스,C8XYiFMS174,전설의 무명밴드 웃참퍼,41,shortform,28305,127,8,0.4487,0.0283
빠더너스,tZvEKvvkM_I,1초마다 반응 확인함,55,shortform,22465,69,3,0.3071,0.0134
빠더너스,V19ZZsOfvW8,몸무게 제한이 있나요?,46,shortform,256912,1624,57,0.6321,0.0222
빠더너스,M5keW3grlrs,수입 영화 개봉 D-14! 문상훈이 밴드 결성한 이유 (With. 실리카겔 김한주 & 백현진 & 바밍타이거 산얀),1536,longform,91117,1473,93,1.6166,0.1021
빠더너스,aCWEo-X5m8s,30초 예고편 | 너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고,31,shortform,20153,135,5,0.6699,0.0248
빠더너스,yH0VFcmMF3c,어른한테도 짤 없음,92,longform,98598,751,23,0.7617,0.0233
빠더너스,ZHkG0fqFj5E,기싸움 레전드,85,longform,869114,14302,253,1.6456,0.0291
빠더너스,YyDOQ59JWVU,작가랑 싸웠음?,48,shortform,324949,2571,43,0.7912,0.0132
빠더너스,JRHGrLD4HnM,준비물 : 얼굴,87,longform,560723,6917,162,1.2336,0.0289
빠더너스,RAn_QSvt4ns,오프로드만 달리는 S클래스라고?,57,shortform,104727,283,12,0.2702,0.0115
빠더너스,VsnZP7Y3bIs,고백 멘트 추천,23,shortform,45617,122,2,0.2674,0.0044
빠더너스,EfzCeUBvYQM,과정VS결과,32,shortform,50540,138,4,0.2731,0.0079
빠더너스,4eHH0xHF8ZI,일하기 싫으면 안해도 돼,21,shortform,45891,134,0,0.292,0.0
빠더너스,2yWBhXXCxkY,여기 타잔 있어요,5,shortform,48134,107,4,0.2223,0.0083
빠더너스,vl5mvXunzEI,저주받은 학생들 살리러 흥신소 온 무당 노재원 도와주기 | 입금 바랍니다 EP3 기리고 (노재원 전소영 현우석),1114,longform,636730,14182,812,2.2273,0.1275
빠더너스,MihS-CiD4yI,귀농한 청년들과 함께한 체험 삶의 현장 [처비투어 EP2],2361,longform,65686,1276,116,1.9426,0.1766
빠더너스,gUWtNDznzdM,웃음을 아예 못 참는 김성철,30,shortform,1623666,20003,140,1.232,0.0086
빠더너스,pDECw99O0Ik,스트레스볼 공구하실 분?,26,shortform,323841,2205,45,0.6809,0.0139
빠더너스,BtLDvpwgcnI,문쌤을 설레게 한 밥보영,26,shortform,573960,3554,201,0.6192,0.035
빠더너스,4urphroilac,어른의 자격,40,shortform,112992,576,9,0.5098,0.008
빠더너스,mAO4pmYpipw,"박보영 선생님 제가 구해드릴게요 (w. 박보영, 김성철, 이현욱)",665,longform,459815,8294,485,1.8038,0.1055
빠더너스,zrXUzVPUy2g,DAY6 원필이 매일 아침 한다는 동기부여,56,shortform,148506,3689,50,2.4841,0.0337
빠더너스,RVFaPMVkpSQ,원필이 문상훈 잡아먹음?,69,longform,568449,13437,162,2.3638,0.0285
빠더너스,LNHBx44LCE4,존잘남의 하루일과,58,shortform,1390317,16113,259,1.1589,0.0186
빠더너스,6csDi29Hc6M,사춘기가 오지 않는 아들,56,shortform,38646,300,9,0.7763,0.0233
빠더너스,ixcZcKp0ry0,기적이 일어났습니다... 존잘남이 된 취준생 브이로그,1035,longform,1038939,29217,2086,2.8122,0.2008
빠더너스,IVy2hgK8tos,살목지보다 무섭다는 레전드 공포영화 같이 보다가 일어난 소름돋는 사건,1590,longform,533434,8515,356,1.5963,0.0667
빠더너스,PUPjuFhjkaU,사실적시 명예회손,33,shortform,135876,603,22,0.4438,0.0162
빠더너스,kTg5tMe-fjY,수준 높은 미드라인 미러전,45,shortform,357006,2678,111,0.7501,0.0311
빠더너스,nW0zOqSL7QY,코치석에 봉인된 덤보,23,shortform,1185054,10245,273,0.8645,0.023
빠더너스,do0UbdHXgWQ,의외로 개념 있는 프로게이머,36,shortform,1695465,14959,661,0.8823,0.039
빠더너스,S0nm07iNj44,민망한 말실수 대처법,30,shortform,59896,310,10,0.5176,0.0167
숏박스,fwBGVX5NbsA,서점,402,longform,1259247,17266,1244,1.3711,0.0988
숏박스,KLDQAVHBMgE,동생이 누나를 이길 수 없는 이유,52,shortform,2698979,28836,146,1.0684,0.0054
숏박스,1o6axv9w7WA,쌈 하나 싸드릴게요,57,shortform,408908,3091,84,0.7559,0.0205
숏박스,tRtKgsVw54g,갈비찜 잡채 보쌈 월남쌈 파스타,543,longform,2764783,23662,1786,0.8558,0.0646
숏박스,AEV4uEMKiY8,여자들 사진 찍기 전,55,shortform,460198,4368,38,0.9492,0.0083
숏박스,DW7CB9PdgPk,다시 태어나도 제 매형이 되어 주세요,61,longform,821758,7261,55,0.8836,0.0067
숏박스,7v0X28xW4ec,결혼식 12시간 전,695,longform,2905865,31698,1298,1.0908,0.0447
숏박스,mN9eKF37i5o,넌 계획이 다 있구나,58,shortform,330136,3059,39,0.9266,0.0118
숏박스,1P8w8Jt5mWM,너네 언제 사귀냐,43,shortform,1229033,10671,345,0.8682,0.0281
