period,video_id,title,channel,published_at,duration_seconds,format_type,view_count,like_count,comment_count
2020,RbRYV1H8og0,(Spicy Food Eating) - Fresh Tofu with Chillies - mukbang ASMR | Sisters Eating #Shorts,Spicy Momo,2020-11-11,22,shortform,164643449,0,0
2020,N2dsnGc7TFk,"Raiden X 찬열 CHANYEOL 'Yours (Feat. 이하이, 창모)' MV",SMTOWN,2020-05-12,237,longform,112268280,2324198,285886
2020,Ec7LcvWPDQI,"수제초콜릿 Amazing Chocolate Making Process, Chocolate Master - Chocolate Factory in Korea",FoodyTrip 푸디트립,2020-06-03,1017,longform,68588331,654098,20810
2020,xLD8oWRmlAE,Feel the Rhythm of KOREA: BUSAN,Imagine Your Korea,2020-07-30,101,longform,54209873,115632,4655
2020,EAzgrYJG9iI,Tik tok jimin abs,옥타비아 Army Bangtan,2020-08-21,8,longform,56604393,243553,2059
2020,3P1CnWI62Ik,Feel the Rhythm of KOREA: SEOUL,Imagine Your Korea,2020-07-30,97,longform,53687087,275706,15650
2020,5UQzXbizT-s,"Loco (로꼬), Punch (펀치) - Say Yes (달의 연인 - 보보경심 려 OST Part 2)(Color Coded Lyrics Han/Rom/Eng/가사)",Kkura곰,2020-08-15,219,longform,49276798,262239,2248
2020,dQ_lCmB2hfk,Feel the Rhythm of KOREA: JEONJU,Imagine Your Korea,2020-07-30,99,longform,48735443,89726,3063
2020,RdzvyvGcOYQ,Feel the Rhythm of KOREA: GANGNEUNG,Imagine Your Korea,2020-10-13,117,longform,48633372,86112,3826
2020,CitIMlaa8To,Feel the Rhythm of KOREA: MOKPO,Imagine Your Korea,2020-10-13,108,longform,48610298,80025,3317
2020,R2GeUF_xm1Y,Feel the Rhythm of KOREA: ANDONG,Imagine Your Korea,2020-10-13,109,longform,44472066,77978,3048
2020,t2e2IjHIdKs,(Spicy Food Eating)! Best Eating Spicy Chillies! Sisters Eating Spicy Chillies daily #shorts,Spicy Momo,2020-11-07,29,shortform,41675488,1130657,2228
2020,xHNkyPNEiJw,(Spicy Food Eating) - Spicy Chillies Fry Rice - Extreme Spicy | Sisters Eating #Shorts,Spicy Momo,2020-11-10,25,shortform,29638180,696375,1170
