video_id,title,published_at,duration,duration_sec,view_count,like_count,comment_count,like_rate,comment_rate,corner,is_middleform,collected_at
35FhwcPX5do,보기만 해도 아픔 🤕  [로맨스의 절댓값],2026-05-18T11:03:00Z,PT50S,50,10207,347,10,3.3996,0.098,비SNL,False,2026-05-19T03:49:26.546390+00:00
yTZ3acCwr6w,선생님 퇴학이라뇨... 우리 의주 지켜주세요 😣 [로맨스의 절댓값] 13-14화 예고편,2026-05-18T09:01:14Z,PT38S,38,7710,214,18,2.7756,0.2335,비SNL,False,2026-05-19T03:49:26.546474+00:00
IPIlF7mvq8o,국어 선생님의 그림 🐍 [로맨스의 절댓값],2026-05-18T09:00:32Z,PT37S,37,8407,176,5,2.0935,0.0595,비SNL,False,2026-05-19T03:49:26.546517+00:00
GLQdvNi1aQk,친절함이 흘러넘치는 중 [봉주르빵집],2026-05-18T08:00:29Z,PT1M31S,91,5376,45,1,0.8371,0.0186,비SNL,False,2026-05-19T03:49:26.546555+00:00
QmVTcqDEUGs,"하하, 명수옹이 작정하고 홍보하는 이것의 정체 [2026 무한도전 Run] 5/18 (월) 추가 예매 마감",2026-05-18T07:24:04Z,PT1M4S,64,1075,22,1,2.0465,0.093,비SNL,False,2026-05-19T03:49:26.546592+00:00
4seOf0dyniQ,해외 화제작 1화 무료 시청하기🔥[패스 프리뷰 이벤트],2026-05-18T02:00:03Z,PT48S,48,223,6,0,2.6906,0.0,비SNL,False,2026-05-19T03:49:26.546646+00:00
LFHf2JxY8A0,절실한 장기 연애남 [SNL 코리아] 시즌 8 ‘나는 후보’ 오세훈 편 하이라이트,2026-05-17T09:15:00Z,PT5M8S,308,34967,564,634,1.6129,1.8131,기타SNL,True,2026-05-19T03:49:26.546685+00:00
zi1B8-6LHi4,멋 좀 아는 패션 피플들의 팝업 스토어 [SNL 코리아] 시즌 8 ‘MUSMA 편집샵’ 하이라이트,2026-05-17T09:01:13Z,PT4M15S,255,487044,1654,206,0.3396,0.0423,기타SNL,False,2026-05-19T03:49:26.546740+00:00
Wuko9pFjGIU,돌돌돌돌싱의 유혹 [SNL 코리아] 시즌 8 ‘나는 솔로 지옥 돌싱글즈’ 하이라이트,2026-05-17T09:00:39Z,PT4M34S,274,1036763,2143,109,0.2067,0.0105,기타SNL,False,2026-05-19T03:49:26.546793+00:00
GsbVTxaXaFA,제빵왕의 필수 덕목 [봉주르빵집],2026-05-17T08:10:00Z,PT1M28S,88,4782,60,3,1.2547,0.0627,비SNL,False,2026-05-19T03:49:26.546825+00:00
