video_id,title,published_at,duration,duration_sec,view_count,like_count,comment_count,like_rate,comment_rate,corner,is_middleform,collected_at
LFHf2JxY8A0,절실한 장기 연애남 [SNL 코리아] 시즌 8 ‘나는 후보’ 오세훈 편 하이라이트,2026-05-17T09:15:00Z,PT5M8S,308,34967,564,634,1.6129,1.8131,기타SNL,True,2026-05-19T03:49:26.546685+00:00
zi1B8-6LHi4,멋 좀 아는 패션 피플들의 팝업 스토어 [SNL 코리아] 시즌 8 ‘MUSMA 편집샵’ 하이라이트,2026-05-17T09:01:13Z,PT4M15S,255,487044,1654,206,0.3396,0.0423,기타SNL,False,2026-05-19T03:49:26.546740+00:00
Wuko9pFjGIU,돌돌돌돌싱의 유혹 [SNL 코리아] 시즌 8 ‘나는 솔로 지옥 돌싱글즈’ 하이라이트,2026-05-17T09:00:39Z,PT4M34S,274,1036763,2143,109,0.2067,0.0105,기타SNL,False,2026-05-19T03:49:26.546793+00:00
_MmWKoGpSUg,이상하다 왜 아프지 [SNL 코리아] 시즌 8,2026-05-13T08:57:37Z,PT59S,59,265303,2196,89,0.8277,0.0335,기타SNL,False,2026-05-19T03:49:26.547574+00:00
Ln5-drqn880,옥땅으로 올라와 [SNL 코리아] 시즌 8,2026-05-12T10:00:29Z,PT51S,51,26853,159,7,0.5921,0.0261,기타SNL,False,2026-05-19T03:49:26.547675+00:00
0vWWE-WaYOc,어느 새부터 성수는 안 멋져 [SNL 코리아] 시즌 8,2026-05-12T10:00:02Z,PT1M32S,92,164668,1222,55,0.7421,0.0334,기타SNL,False,2026-05-19T03:49:26.547706+00:00
Xsh-uf7CUOs,우리 애들 갈궈도 내가 갈궈 [SNL 코리아] 시즌 8,2026-05-11T09:59:09Z,PT1M17S,77,536481,6226,146,1.1605,0.0272,기타SNL,False,2026-05-19T03:49:26.547864+00:00
amJYG7qe0f4,이미지 변신(?)에 성공한 한가인 [SNL 코리아] 시즌 8,2026-05-11T09:58:29Z,PT1M51S,111,229421,2738,127,1.1934,0.0554,기타SNL,False,2026-05-19T03:49:26.547927+00:00
CWcSyLNYd7A,잠수 이별하고 돌아온 구남친 [SNL 코리아] 시즌 8 ‘나는 후보’ 송영길 편 하이라이트,2026-05-10T09:15:00Z,PT4M31S,271,18111,262,158,1.4466,0.8724,기타SNL,False,2026-05-19T03:49:26.548035+00:00
JiAgL05WTD0,한가인 니가 그렇게 싸움을 잘해? [SNL 코리아] 시즌 8 ‘말죽거리 잔혹사’ 하이라이트,2026-05-10T09:00:20Z,PT4M8S,248,1479962,5684,674,0.3841,0.0455,기타SNL,False,2026-05-19T03:49:26.548068+00:00
EMHrpkyNcwU,이수지 실장 VS 공민정 팀장 [SNL 코리아] 시즌 8 ‘스마일 클리닉’ 하이라이트,2026-05-10T09:00:16Z,PT4M37S,277,2992646,21540,1783,0.7198,0.0596,스마일클리닉,False,2026-05-19T03:49:26.548094+00:00
mkSqIeXoI04,추성훈 출연료 1억설 [SNL 코리아] 시즌 8,2026-05-05T10:01:14Z,PT1M29S,89,147571,1209,74,0.8193,0.0501,기타SNL,False,2026-05-19T03:49:26.797870+00:00
9ZzwIlz4YC8,동그란 거 두 개… 잘 있지? [SNL 코리아] 시즌 8,2026-05-05T10:00:23Z,PT53S,53,6596,37,0,0.5609,0.0,기타SNL,False,2026-05-19T03:49:26.797901+00:00
wXc6rsTQQ7s,김원훈 킹받음 참기 챌린지 [SNL 코리아] 시즌 8 스마일 클리닉 NG 모음,2026-05-05T03:00:57Z,PT28S,28,63060,395,20,0.6264,0.0317,스마일클리닉,False,2026-05-19T03:49:26.797926+00:00
0UOhWo5V40o,규카츠 실시간으로 현타 맞는 중 [SNL 코리아] 시즌 8 스마일 클리닉 NG 모음,2026-05-05T03:00:00Z,PT49S,49,309648,6705,108,2.1654,0.0349,스마일클리닉,False,2026-05-19T03:49:26.797980+00:00
ik7ajOwqYbA,문의사항은 DM 부탁드려요 🙏 [SNL 코리아] 시즌 8,2026-05-04T10:01:07Z,PT1M34S,94,247797,3043,214,1.228,0.0864,기타SNL,False,2026-05-19T03:49:26.798070+00:00
SzhqwHTtHrg,온 몸이 빨개진 미스터 추 [SNL 코리아] 시즌 8,2026-05-04T10:00:53Z,PT1M1S,61,6831,49,1,0.7173,0.0146,기타SNL,False,2026-05-19T03:49:26.798099+00:00
63khHpgW5uQ,판도를 뒤흔들 메기남 [SNL 코리아] 시즌 8 ‘나는 후보’ 이준석 편 하이라이트,2026-05-03T09:05:00Z,PT4M33S,273,99184,1815,1355,1.8299,1.3661,기타SNL,False,2026-05-19T03:49:26.798190+00:00
QelqW56Rqy8,사랑이 아빠의 육아 꿀팁 [SNL 코리아] 시즌 8 ‘딸바보 펍’ 하이라이트,2026-05-03T09:00:35Z,PT5M16S,316,1040432,872,54,0.0838,0.0052,기타SNL,True,2026-05-19T03:49:26.798221+00:00
Ef6_3DWMZx4,요즘 핫하다는 성수동 편집샵의 패션 피플 [SNL 코리아] 시즌 8 ‘MUSMA 편집샵’ 하이라이트,2026-05-03T09:00:18Z,PT4M28S,268,1608325,6926,1141,0.4306,0.0709,기타SNL,False,2026-05-19T03:49:26.798252+00:00
eW-lNXA4YrE,설렜어? [SNL 코리아] 시즌 8,2026-04-28T10:01:07Z,PT1M2S,62,242281,2398,64,0.9898,0.0264,기타SNL,False,2026-05-19T03:49:26.798780+00:00
FKH__M-nb64,환자 앞에서 창피 당한 김원훈 [SNL 코리아] 시즌 8,2026-04-28T10:00:21Z,PT1M20S,80,232524,1409,117,0.606,0.0503,기타SNL,False,2026-05-19T03:49:26.798808+00:00
0j_hWln9Gi4,원장님한테 들킬 때까지 쇼츠 올리기 1일 차 [SNL 코리아] 시즌 8 #난리도아니야챌린지,2026-04-27T11:00:04Z,PT24S,24,3160139,25393,626,0.8035,0.0198,기타SNL,False,2026-05-19T03:49:27.051046+00:00
SI2NyoKUnz4,왜 이렇게 잘해요? [SNL 코리아] 시즌 8 #난리도아니야챌린지,2026-04-27T03:00:24Z,PT34S,34,2001672,20737,585,1.036,0.0292,기타SNL,False,2026-05-19T03:49:27.051076+00:00
pSvhTC6D3B0,김규원 급발진 레전드 갱신 [SNL 코리아] 시즌 8,2026-04-26T13:01:31Z,PT1M39S,99,1148461,16322,531,1.4212,0.0462,기타SNL,False,2026-05-19T03:49:27.051099+00:00
Yf-fbYKSmiI,신성록 실체 공개  [SNL 코리아] 시즌 8,2026-04-26T13:01:02Z,PT1M32S,92,323156,3247,93,1.0048,0.0288,기타SNL,False,2026-05-19T03:49:27.051109+00:00
mK8oERW92I4,쇼츠로 대박난 병원 원장 [SNL 코리아] 시즌 8 #난리도아니야챌린지,2026-04-26T11:01:12Z,PT28S,28,3706188,38017,1262,1.0258,0.0341,기타SNL,False,2026-05-19T03:49:27.051120+00:00
G4Xv3E8CvS8,강원도 러버의 연애 공약 [SNL 코리아] 시즌 8 ‘나는 후보’ 우상호 편 하이라이트,2026-04-26T07:15:01Z,PT4M57S,297,31068,340,131,1.0944,0.4217,기타SNL,False,2026-05-19T03:49:27.051142+00:00
P1IAzz8_5Ag,피부과 전문의 신성록의 등장 [SNL 코리아] 시즌 8 ‘스마일 클리닉’ 하이라이트,2026-04-26T07:00:21Z,PT4M39S,279,1666836,8922,750,0.5353,0.045,스마일클리닉,False,2026-05-19T03:49:27.051150+00:00
vu87Oye3Hy8,원조의 품격 [SNL 코리아] 시즌 8 #난리도아니야챌린지,2026-04-26T03:01:08Z,PT25S,25,2559918,24975,252,0.9756,0.0098,기타SNL,False,2026-05-19T03:49:27.051189+00:00
heMe3CULydo,신성록 배우님이 SNL까지 뒤집어 놓으셨다ㅣ4월 25일 (토) 저녁 8시,2026-04-25T05:00:40Z,PT1M3S,63,14825,120,12,0.8094,0.0809,기타SNL,False,2026-05-19T03:49:27.051291+00:00
0TA6uHv6X3M,안주미 신입이 신성록 배우님 SNL로 모실게요~! 👉ㅣ4월 25일 (토) 저녁 8시,2026-04-25T02:00:03Z,PT1M16S,76,11475,134,13,1.1678,0.1133,기타SNL,False,2026-05-19T03:49:27.051301+00:00
uCZc7UUDB5I,나랑 물고 빨고 하느라 힘들었지? [SNL 코리아] 시즌 8,2026-04-22T12:01:44Z,PT1M24S,84,57344,519,13,0.9051,0.0227,기타SNL,False,2026-05-19T03:49:27.051396+00:00
3-xi3e0jtt4,미숙씨가 왜이리 무리해 [SNL 코리아] 시즌 8,2026-04-22T12:00:06Z,PT1M13S,73,53782,451,14,0.8386,0.026,기타SNL,False,2026-05-19T03:49:27.051405+00:00
c2YGRCi2T9Q,K-학부모 비상대책 교무회의 [SNL 코리아] 시즌 8,2026-04-21T10:00:58Z,PT1M28S,88,200282,2177,135,1.087,0.0674,기타SNL,False,2026-05-19T03:49:27.051452+00:00
Ibss1pQpHyI,네 남친 한방 능이백숙👴 [SNL 코리아] 시즌 8,2026-04-21T10:00:35Z,PT1M20S,80,3163509,17536,1201,0.5543,0.038,기타SNL,False,2026-05-19T03:49:27.051462+00:00
euYMLmv7K4g,어디까지 들어오시는 거예요? [SNL 코리아] 시즌 8,2026-04-20T10:08:16Z,PT1M38S,98,201456,2341,57,1.162,0.0283,기타SNL,False,2026-05-19T03:49:27.051523+00:00
_yHTe_wZrOk,우리가 헤어진 이유 [SNL 코리아] 시즌 8,2026-04-20T10:06:57Z,PT1M3S,63,136896,1311,28,0.9577,0.0205,기타SNL,False,2026-05-19T03:49:27.051532+00:00
Offv5qgSAFU,삭발하고 나타난 이유는? [SNL 코리아] 시즌 8 ‘나는 후보’ 박형준 편 하이라이트,2026-04-19T07:15:01Z,PT4M39S,279,15090,140,80,0.9278,0.5302,기타SNL,False,2026-05-19T03:49:27.275284+00:00
IKhmuVjB69Q,자식들 열애에 분노한 이수지 [SNL 코리아] 시즌 8 ‘며느리는 왕언니’ 하이라이트,2026-04-19T07:00:25Z,PT4M8S,248,1097739,3056,178,0.2784,0.0162,기타SNL,False,2026-05-19T03:49:27.275364+00:00
aI3oNarMZhc,미숙 황제의 연하 꼬시기 [SNL 코리아] 시즌 8 ‘이미슈크 여제의 하렘’ 하이라이트,2026-04-19T07:00:00Z,PT4M21S,261,1144000,7023,709,0.6139,0.062,기타SNL,False,2026-05-19T03:49:27.275401+00:00
6hj8qNCfg0Y,야구가 위험한 이유 [SNL 코리아] 시즌 8,2026-04-14T10:00:17Z,PT57S,57,463321,2049,120,0.4422,0.0259,기타SNL,False,2026-05-19T03:49:27.275788+00:00
0aI_7eM_BIQ,신개념 플러팅의 등장 [SNL 코리아] 시즌 8,2026-04-14T10:00:03Z,PT39S,39,248086,538,26,0.2169,0.0105,기타SNL,False,2026-05-19T03:49:27.275818+00:00
u_oNX4QUbLk,청첩장 모임 민폐 1위는? [SNL 코리아] 시즌 8,2026-04-12T11:01:27Z,PT1M16S,76,1494135,6073,136,0.4065,0.0091,기타SNL,False,2026-05-19T03:49:27.276013+00:00
kiMhzvp-Z38,쌍화점 금기의 사랑 [SNL 코리아] 시즌 8,2026-04-12T11:01:12Z,PT1M12S,72,1505944,4140,142,0.2749,0.0094,기타SNL,False,2026-05-19T03:49:27.276042+00:00
3cOo0Ia5RHk,추블리의 고백 [SNL 코리아] 시즌 8 ‘나는 후보’ 추경호 편 하이라이트,2026-04-12T07:06:27Z,PT4M24S,264,20173,196,390,0.9716,1.9333,기타SNL,False,2026-05-19T03:49:27.276106+00:00
6RPEcI-EAjE,도둑 말고 연애각 잡는 송지효 [SNL 코리아] 시즌 8 ‘동창회의 목적: 경도 특집’ 하이라이트,2026-04-12T07:00:13Z,PT4M34S,274,1139952,3761,326,0.3299,0.0286,기타SNL,False,2026-05-19T03:49:27.276139+00:00
0s7O2SBa510,수지실장한테 도전하는 규원 [SNL 코리아] 시즌 8 ‘스마일 클리닉’ 하이라이트,2026-04-12T07:00:01Z,PT4M19S,259,1670348,8419,638,0.504,0.0382,스마일클리닉,False,2026-05-19T03:49:27.276163+00:00
MMv77YqfHbY,연기 맞죠 [SNL 코리아],2026-04-12T04:00:18Z,PT33S,33,51684,264,7,0.5108,0.0135,기타SNL,False,2026-05-19T03:49:27.276191+00:00
bImb6OGEHhM,선배가 된 MZ [SNL 코리아],2026-04-11T05:00:37Z,PT59S,59,397353,3312,74,0.8335,0.0186,기타SNL,False,2026-05-19T03:49:27.276307+00:00
D92XwsZ6kuM,"송지효, 지예은과 함께 보여줄 진짜 정체는? [SNL 코리아] 시즌 8 송지효 편 ㅣ4월 11일 (토) 저녁 8시",2026-04-11T02:00:12Z,PT1M27S,87,36336,595,163,1.6375,0.4486,기타SNL,False,2026-05-19T03:49:27.276338+00:00
s8k8Hp9h83U,나에겐 너무 어려운 영어 [SNL 코리아] 시즌 8,2026-04-08T10:01:32Z,PT43S,43,408660,1560,36,0.3817,0.0088,기타SNL,False,2026-05-19T03:49:27.276481+00:00
6r0-pNcYN0Q,무당이야 스토커야 [SNL 코리아] 시즌 8,2026-04-08T10:00:14Z,PT1M1S,61,497562,1924,28,0.3867,0.0056,기타SNL,False,2026-05-19T03:49:27.276509+00:00
