작품명,video_id,영상제목,채널명,업로드일,view_count,like_count,comment_count,영상URL,like_rate,comment_rate
국가권력급 상속자가 돌아왔다,-YZcSqqOvnY,식물인간이 된 재벌 상속자 [국가권력급 상속자가 돌아왔다] Ep.1-6,숏드라마는 비글루 (Vigloo),2026-02-26T08:57:14Z,28498,152,9,https://www.youtube.com/watch?v=-YZcSqqOvnY,0.5333707628605516,0.0315811635904274
국가권력급 상속자가 돌아왔다,Y1gXXF5ToB0,3년 만에 눈을 뜬 재벌 후계자 [국가권력급 상속자가 돌아왔다] Ep.7-11,숏드라마는 비글루 (Vigloo),2026-02-26T08:02:41Z,59699,533,18,https://www.youtube.com/watch?v=Y1gXXF5ToB0,0.8928122749124776,0.030151258815055527
국가권력급 상속자가 돌아왔다,zimg8ScLn94,날 뛰는 폐급 빌런! 정신 번쩍들게 하는 상사의 싸대기,숏드라마는 비글루 (Vigloo),2026-03-09T00:17:03Z,786933,11372,81,https://www.youtube.com/watch?v=zimg8ScLn94,1.4451039669196741,0.010293125335956175
국가권력급 상속자가 돌아왔다,OYevmEXAjLU,회장 아들에게 나댄 허세남 참교육 싸대기,숏드라마는 비글루 (Vigloo),2026-03-05T07:58:12Z,484656,5791,21,https://www.youtube.com/watch?v=OYevmEXAjLU,1.1948681126407183,0.004332970189165099
국가권력급 상속자가 돌아왔다,nim00qdqCTU,내 아들 건들면 다 죽는거야! 국방부장관의 극대노,숏드라마는 비글루 (Vigloo),2026-03-03T08:55:03Z,87602,1090,8,https://www.youtube.com/watch?v=nim00qdqCTU,1.2442638295929316,0.009132211593342618
국가권력급 상속자가 돌아왔다,HoTtsYbKILY,아들 괴롭힌 인간들 처단하는 재벌 사모,숏드라마는 비글루 (Vigloo),2026-03-11T08:20:09Z,470747,6221,11,https://www.youtube.com/watch?v=HoTtsYbKILY,1.3215166533190865,0.002336711651906438
닿을 수 있는 그녀,fWrpSLt7s_A,방송으로 생중계된 악몽같은 상황 [닿을 수 있는 그녀],숏드라마는 비글루 (Vigloo),2026-03-31T11:15:45Z,23589,80,6,https://www.youtube.com/watch?v=fWrpSLt7s_A,0.3391411251006825,0.02543558438255119
닿을 수 있는 그녀,DQXze8K7eeU,세상이 억까해도 난 믿는 구석이 있지,숏드라마는 비글루 (Vigloo),2026-04-02T01:39:08Z,39699,414,6,https://www.youtube.com/watch?v=DQXze8K7eeU,1.0428474268873271,0.015113730824454016
닿을 수 있는 그녀,MAItmIIrhd8,가짜 딸의 만행 폭로,숏드라마는 비글루 (Vigloo),2026-04-20T06:00:30Z,96124,1104,6,https://www.youtube.com/watch?v=MAItmIIrhd8,1.1485164995214514,0.006241937497399193
닿을 수 있는 그녀,VpV_yb6r3eI,폭력쓰는 양부모한테 피의 응징하는 재벌남,숏드라마는 비글루 (Vigloo),2026-03-25T08:00:35Z,100546,1050,5,https://www.youtube.com/watch?v=VpV_yb6r3eI,1.044298132198198,0.004972848248562847
