channel_name,video_id,title,duration_seconds,format_type,view_count,like_count,comment_count,like_rate,comment_rate
놀면뭐하니,DpO7x5DRXKw,선공개 | 진짜 뼈다귀를 가를 정면 승부 💪(feat. 팔씨름) | #놀면뭐하니 #놀뭐 #유재석 #하하 #주우재 #허경환 #양상국  #MBC260516방송,140,longform,239637,2823,548,1.178,0.2287
놀면뭐하니,TxMePYm1Qa8,[놀면 뭐하니] 파란을 일으킨 여자,46,shortform,105365,1273,47,1.2082,0.0446
놀면뭐하니,Ey-eoFScXFM,[놀면 뭐하니] 허인옥... 꼭 뺏어야 되나요?,43,shortform,206415,2313,83,1.1206,0.0402
놀면뭐하니,x2qVNmkK7nM,[놀면 뭐하니?] 트리거 하하 모음집 🎶| #놀면뭐하니? #유재석 #하하 #주우재 #허경환,2336,longform,137567,1494,210,1.086,0.1527
놀면뭐하니,d7ceL7iADAk,[놀면 뭐하니] 허닥스…허닥스..? 실시간 현타온 김석훈,37,shortform,142046,1335,31,0.9398,0.0218
놀면뭐하니,GLLwdSEYBXU,[놀면 뭐하니] 눈썹 하나밖에 못 붙인 1인 4역 정준하,46,shortform,143408,1423,38,0.9923,0.0265
놀면뭐하니,PECe6BJYYac,[놀면 뭐하니] 허경환 폭풍애드립에 김석훈 연기인생 최대위기,50,shortform,810714,9253,309,1.1413,0.0381
놀면뭐하니,mfusSVdK3RI,[놀면 뭐하니] 밥 줘‼️‼️ (2026ver.),36,shortform,322121,3259,102,1.0117,0.0317
놀면뭐하니,sJOy_ITLBmg,[놀면 뭐하니] 정준하 코연기에 유감독 극대노💢🤬,52,shortform,223376,2744,112,1.2284,0.0501
놀면뭐하니,JgVOKmcoAYc,[놀뭐 예고] 창원을 긴장시키는 진뻬이의 등장⁉️(feat. 쩐의 전쟁 in 창원)| #놀면뭐하니 #놀뭐 #유재석 #하하 #주우재 #허경환 #양상국 #MBC260516방영,29,shortform,430840,4406,1848,1.0227,0.4289
놀면뭐하니,a0tFDKV8UNA,[놀면 뭐하니] 웃지 않고는 못 배길 어머니의 옥안,54,shortform,225275,3141,101,1.3943,0.0448
놀면뭐하니,lWMYwH4wDxM,[놀면 뭐하니] 천의 얼굴 정준하 😊😤🥸😳😭🥶😴🥵,42,shortform,311365,4076,181,1.3091,0.0581
놀면뭐하니,22jc0eMwk3k,[놀면 뭐하니] 힘센 여자 허인옥💪🏻,53,shortform,457287,7032,272,1.5378,0.0595
놀면뭐하니,Lubrq9-RhDg,미방분 | 창원 진뻬이(?)를 찾아서‼️ | #놀면뭐하니? #유재석 #하하 #주우재 #허경환 #MBC260502방송,395,longform,550612,5057,1573,0.9184,0.2857
놀면뭐하니,1jbkuMgA3tI,[동생이 훔친 내 여자를 다시 뺏기로 했다] 🎼ost 모음집🎼,450,longform,171837,4792,854,2.7887,0.497
놀면뭐하니,uDeJoD0SmEM,[놀면 뭐하니] 미친 사람..!! 매소드 연기로 상대 배우 업어치는 허인옥,1071,longform,669434,7264,910,1.0851,0.1359
놀면뭐하니,L7EiGYHyffE,[놀면 뭐하니] 웃지 않고는 못 배길 어머니의 옥안,1189,longform,646267,7005,699,1.0839,0.1082
놀면뭐하니,tzyi0iu42Eo,[놀면 뭐하니] 준하 씨 와서 어깨 좀 주물러 봐요~ 👑최고 권력자👑 유감독,1057,longform,584551,5469,528,0.9356,0.0903
놀면뭐하니,hPqvQkiEjzg,[놀면 뭐하니] 동생이 훔친 내 여자를 다시 뺏기로 했다 | 숏드라마 FULL버전,648,longform,1212689,38098,3634,3.1416,0.2997
놀면뭐하니,asPIeMbU2QY,선공개 | 동훔내여다뺏 촬영 현장 대공개 🎬| #놀면뭐하니 #놀뭐 #유재석 #하하 #주우재 #허경환 #정준하  #김석훈 #김성균 #MBC260509,244,longform,198566,2569,277,1.2938,0.1395
놀면뭐하니,mb341PSgrEY,[놀면 뭐하니] 잘 봤습니다. 10년 만에 퇴보한 연기력,47,shortform,119957,997,27,0.8311,0.0225
놀면뭐하니,pCMb-CTrWmg,[놀면 뭐하니] 어어... 저 먼저 갑니다..! SBS 문 긁는 허닥스,23,shortform,349828,2289,54,0.6543,0.0154
놀면뭐하니,1ToRzu8LD9U,[놀면 뭐하니] 길에서 만난 황정민형 그대로 넣으면 돼~ 드라마 한 신 뚝딱하는 가성비 섭외,42,shortform,127641,744,16,0.5829,0.0125
놀면뭐하니,2gZaws7GGis,선공개 | 대본 리딩 현장 대공개! 🎬(feat. 역대급 라인업) | #놀면뭐하니 #놀뭐 #유재석 #하하 #주우재 #허경환 #정준하  #김석훈 #김성균 #MBC260509,262,longform,253635,4035,536,1.5909,0.2113
놀면뭐하니,-nnttDDBiTg,[놀면 뭐하니] 치아라!! 부산 짜베이 하명회,50,shortform,80950,554,17,0.6844,0.021
놀면뭐하니,EPRCJs95VvU,[놀면 뭐하니] 복도에서 대기 중 남의 오디션 끼어드는 전 지원자,39,shortform,94242,914,26,0.9698,0.0276
놀면뭐하니,LfOooDC2mQg,[놀면 뭐하니] 야이 친구야!!!!!!! 과한 자기어필에 결국 큰 소리 듣는 경쟁사,59,shortform,173583,1327,78,0.7645,0.0449
놀면뭐하니,89CVSsmt7Mw,[놀면 뭐하니] 제작진에게 제대로 물어뜯기는 중인 김성균 배우,52,shortform,64141,628,11,0.9791,0.0171
놀면뭐하니,jwZ0Ay2kTbw,[놀면 뭐하니] 언발란스 뺏기지 않기 위한 경환의 몸부림,32,shortform,2550413,19142,255,0.7505,0.01
놀면뭐하니,J60BofOUiK4,[놀면 뭐하니] 불안하네~이자뿔까봐~ 원~투~ 유행어로 점철된 경환ost,53,shortform,702001,7519,277,1.0711,0.0395
놀면뭐하니,hn3aYAZQjTw,[놀면 뭐하니] 빨리 안 가?!?!! 방송국 직원에게 호통치는 유재석,42,shortform,314915,2721,64,0.864,0.0203
놀면뭐하니,IJ0gkOOnUSM,[놀뭐 예고] 놀뭐 숏드라마 개봉박두‼️🎬 | #놀면뭐하니 #놀뭐 #유재석 #하하 #주우재 #허경환 #김석훈 #김성균 #MBC260509 6시 25분 방영,50,shortform,160343,2288,291,1.4269,0.1815
놀면뭐하니,fLFI0Ul7khY,[ENG SUB] 저리 안 가?!?!!!!!!!!! 어잌후...죄송합니다 오해 없으시길 바라요!!,1111,longform,871541,5866,505,0.6731,0.0579
놀면뭐하니,atn7KjaodoA,[ENG SUB] 김석훈 배우를 쟁취하기 위한 두 제작사의 신경전🔥,1114,longform,553413,3710,477,0.6704,0.0862
놀면뭐하니,U8zRYuSX0OI,[ENG SUB] 혹시 배우...와 투자...와 제작...과 감독까지 다 해주실래요...? 제대로 물린 김성균배우😅,1051,longform,807232,5274,368,0.6533,0.0456
놀면뭐하니,ij48eNsEPHc,선공개 | 숏드라마 프로젝트 첫 지원자 등장! 🎬(feat. 연기하는 허경환..?!) | #놀면뭐하니 #놀뭐 #유재석 #하하 #주우재 #허경환 #MBC260502방송,329,longform,314394,3566,441,1.1342,0.1403
놀면뭐하니,Pk9zzu2YtwU,[놀면 뭐하니] 밥값 안 내려고 아버지 번호 삭제하는 효자(?) 경환,30,shortform,689745,4557,105,0.6607,0.0152
놀면뭐하니,L6MDbTBDxTw,[놀면 뭐하니] 저 서울사람이에요..!!! 결국 자진 고백한 짜베이,54,shortform,301893,2467,68,0.8172,0.0225
놀면뭐하니,52nTYjs4Rlg,[놀면 뭐하니?] 플레이어 '유' 모음집 🎶| #놀면뭐하니? #유재석 #하하 #주우재 #허경환,1817,longform,228121,2768,253,1.2134,0.1109
놀면뭐하니,ofNynf8eToA,[놀면 뭐하니] 딴 데 가서 드이소!!! 화끈한 경상도식(?) 대접,47,shortform,680517,4707,117,0.6917,0.0172
놀면뭐하니,P9cGBaP2744,[놀면 뭐하니] 통영스타의 절박한 🧠두뇌회전🧠,47,shortform,485809,4075,135,0.8388,0.0278
놀면뭐하니,UqgDhGd0O_8,[놀면 뭐하니] 🏁🏎️30만 원을 향한 분노의 질주...? 엉금 엉금🐢,52,shortform,76098,631,37,0.8292,0.0486
놀면뭐하니,9ebrLvribuE,미방분 | 쩐의 전쟁 3.0 메이킹 비하인드를 낋여왔습니다 🍜 | #놀면뭐하니? #유재석 #하하 #주우재 #허경환 #양상국  #MBC260425방송,335,longform,510687,8003,757,1.5671,0.1482
놀면뭐하니,9WpQeux2xzs,[놀면 뭐하니] 극도의 공포에 힘이 풀려버린 부산 사나이💨💨,56,shortform,261210,2036,78,0.7794,0.0299
놀면뭐하니,_ncpgXNM6eg,[놀면 뭐하니] 이젠 재미있으면 좀 서운할 것 같은 허경환's 에피소드,58,shortform,300734,3008,85,1.0002,0.0283
놀면뭐하니,FWPfRHVX1bc,[놀면 뭐하니] 나가는 문이 없어..!!! 단체로 멋지게 탈주~...실패!!,59,shortform,121939,1173,27,0.962,0.0221
놀면뭐하니,N9uvj21mohI,"[놀면 뭐하니] 한 치 앞도 모르는 인생,,,1등에서 꼴찌로...낙하의 몸짓 🍂",52,shortform,276286,3390,151,1.227,0.0547
놀면뭐하니,XhTnUQAKcxs,[놀뭐 예고] 놀뭐 숏폼 드라마 제작기🎬(feat. 어마무시한 캐스팅 라인업)| #놀면뭐하니 #놀뭐 #유재석 #하하 #주우재 #허경환 #MBC260502방영,37,shortform,205844,2377,395,1.1548,0.1919
놀면뭐하니,6U-EoiRmaIQ,[놀면 뭐하니] 바닥을 기는 ✨예능인브랜드평판1위✨,52,shortform,526986,5545,270,1.0522,0.0512
놀면뭐하니,kRXcHUrzDgY,"[ENG SUB] 형님이 어디 갔지??? 바닥을 기어서 탈출을 시도하는 큰 형님,,,",1388,longform,1366810,13490,2788,0.987,0.204
라디오스타,SNHZ2BtFfLQ,최태성의 수능 문제 출제 비하인드 #라디오스타,71,longform,248619,1964,53,0.79,0.0213
라디오스타,Ukj-_pJWku0,8년 로또 진행자가 말하는 로또 기계 고장 대비 방법 #라디오스타,36,shortform,26412,41,6,0.1552,0.0227
라디오스타,QnjND_FAguo,제로즈 서경석이 부르는 제베원 'Good so bad' #라디오스타,39,shortform,11317,51,4,0.4506,0.0353
라디오스타,F8fdt4TpoYw,수능 문제 출제할 때 기싸움도 함 #라디오스타,44,shortform,36640,133,5,0.363,0.0136
라디오스타,VpaB0uRwL6U,최태성과 서경석이 알려주는 한능검 예상 문제 #라디오스타,69,longform,33706,116,21,0.3442,0.0623
라디오스타,8bWHT6HaaWk,황민호 필살기 신들린 장구 #라디오스타,60,shortform,11969,87,8,0.7269,0.0668
라디오스타,IXnx-six9aI,[라디오스타 예고] l 966회 ＜라스페 - 라디오스타 스프링 페스티벌＞ 특집 260520 방송 #김창완 #최정훈 #로이킴 #한로로,98,longform,18637,497,134,2.6667,0.719
라디오스타,AecffohRM7s,농심신라빗~(?) 서울대 출신 서경석의 특이한 한국사 암기법 공개ㅋㅋ | #라디오스타 #서경석 MBC260513방송,1123,longform,263097,1838,350,0.6986,0.133
라디오스타,Yhz2u-b7a0I,일타강사가 될 수 밖에 없었던 큰별쌤의 마인드✨ 5월 한능검 예상문제까지 | #라디오스타 #최태성 MBC260513방송,1364,longform,100418,1176,135,1.1711,0.1344
라디오스타,9ZeCdl0zSp0,둘째 학원만 10개?! 아이들 교육 위해 오늘도 열심히 일하는 열혈맘 김성은🔥 | #라디오스타 #김성은 MBC260513방송,969,longform,38149,232,48,0.6081,0.1258
라디오스타,_a1j46Jjx6A,[라디오스타 선공개] 김성은이 강력 추천하는 학원은? MBC 260513 방송,169,longform,6179,45,15,0.7283,0.2428
라디오스타,vlY1-v1NS9c,[라디오스타 예고] l 965회 ＜스승의 날 - 열혈사제들＞ 특집 260513 방송 #서경석 #최태성 #김성은 #황민호,84,longform,9954,143,17,1.4366,0.1708
라디오스타,rWCQkScuNBY,"다니엘의 찐친인 춘호, 남봉이 #라디오스타",44,shortform,448183,2049,95,0.4572,0.0212
라디오스타,f2t5l8Ou6ys,진지하게 삼겹살송 만든 남규리 #라디오스타,80,longform,23946,213,31,0.8895,0.1295
라디오스타,ShekP6_UplM,안지영이 커버한 'RUDE' #라디오스타,66,longform,10797,77,9,0.7132,0.0834
라디오스타,GHW7V_WQcnk,최수빈과 예능 라이벌인 최범규 #라디오스타,47,shortform,9427,93,4,0.9865,0.0424
라디오스타,2GZPWriqStQ,볼빨간 사춘기의 계절별 노래 메들리 #라디오스타,68,longform,112960,819,62,0.725,0.0549
라디오스타,-7cSB35g2bs,맑눈광 범규의 'GUMM' EDM버전 #라디오스타,61,longform,33399,450,23,1.3473,0.0689
라디오스타,OD6EqCHXoew,"""자 오늘 떠나요~🎵"" 가사가 틀렸다고? 음색 깡패 안지영의 히트곡 메들리 | #라디오스타 #안지영 MBC260506방송",1041,longform,166626,893,100,0.5359,0.06
라디오스타,3tNd9LC_AlY,수빈이형 개인기 도와줬다가 너무 잘돼서 배 아팠던 투바투 범규 | #라디오스타 #범규 #TXT MBC260506방송,862,longform,155748,6386,723,4.1002,0.4642
라디오스타,9APrNjphMNU,춘호랑 남봉이말고 새로운 연예인 친구들이 생겨서 기쁜 최다니엘 | #라디오스타 #최다니엘 MBC260506방송,1025,longform,390410,2406,228,0.6163,0.0584
라디오스타,4pxXWK_Mqy4,[라디오스타 선공개] 최다니엘만의 시크릿 유머 모음.zip 대.공.개! MBC 260506 방송 #최다니엘,184,longform,6747,84,8,1.245,0.1186
라디오스타,lUUI2J8bL_k,프로폴리스만 있으면 밤샘 토크 가능한 아이오아이 #라디오스타,33,shortform,105680,258,7,0.2441,0.0066
라디오스타,OtKbQqChvl0,초코바도 먹으면 안 됐던 그 시절 프듀 #라디오스타,29,shortform,100917,254,26,0.2517,0.0258
라디오스타,Jokpdndaj4A,워너원 활동 때 대휘가 형들한테 혼난 이유 #라디오스타,51,shortform,49771,470,7,0.9443,0.0141
라디오스타,MAjr_Z3LSgs,이대휘한테 라떼 시전하는 전소미 #라디오스타,51,shortform,80645,272,8,0.3373,0.0099
라디오스타,aBMSteF_3ec,왕사남 인기에 탑승하려는 워너원 #라디오스타,49,shortform,54204,393,6,0.725,0.0111
라디오스타,Rog58TGp8_g,탁수 얘기할 때랑 장원영 얘기할 때 안광부터 다른 이종혁 | #라디오스타 #이종혁 MBC260429방송,949,longform,226030,1131,80,0.5004,0.0354
라디오스타,7VDqaGOH_sE,프듀 시절에 젤리 먹으려고 파쿠르까지 했다는 아이오아이 전소미 | #라디오스타 #전소미 MBC260429방송,1182,longform,183293,1610,193,0.8784,0.1053
라디오스타,uILd1fokfCM,[라디오스타 예고] l 964회 ＜만나서 안광입니다^^＞ 특집 260506 방송 #최다니엘 #남규리 #안지영 #범규,81,longform,8530,446,43,5.2286,0.5041
라디오스타,WrSNdc0Fx2I,지훈이형 정말 뽀뽀해주고싶어요... 왕사남 단종 등에 업고 힘차게 재결합한 워너원 이대휘 | #라디오스타 #이대휘,1067,longform,440112,4754,322,1.0802,0.0732
라디오스타,tp2VbiXs6K8,"[라디오스타 선공개] 그 시절 우리의 원픽, 아이오아이 X 워너원 전격 컴백! MBC 260429 방송 #전소미 #이대휘",130,longform,32981,542,58,1.6434,0.1759
라디오스타,IgvSxZEEVUs,왕사남 열풍에 얹어가려는 송하빈 ㅋㅋㅋ #라디오스타,37,shortform,2247111,10632,292,0.4731,0.013
라디오스타,m4uHs8f8nwo,전지현 보려고 계단타기한 류진 #라디오스타,36,shortform,42159,93,5,0.2206,0.0119
라디오스타,u94-WjNn3c4,건물 9개 가지고 있는 럭키 #라디오스타,55,shortform,610490,1455,173,0.2383,0.0283
라디오스타,fUdb1FCUdU8,왕사남 열풍에 얹어가려는 송하빈 ㅋㅋㅋ #라디오스타,49,shortform,51440,151,16,0.2935,0.0311
라디오스타,IsB5oBwZYuk,우는 아들 상대로 철없는 아빠 #라디오스타,50,shortform,13307,49,0,0.3682,0.0
라디오스타,4JC32tA-7ss,남편 기 살려주려고 점점 빨라지는 손 #라디오스타,34,shortform,17941,52,3,0.2898,0.0167
라디오스타,rK8wbIAgEWA,딸들로 모자라서 송하빈 구강검진까지 해주는 방구석 치과의사 기태영 | #라디오스타 #기태영 MBC260422방송,1179,longform,25090,288,30,1.1479,0.1196
라디오스타,uMZHZV8UaH4,[라디오스타 예고] l 963회 ＜뭉쳐야 뜬다! 다시 뭉친 사람 나야 나 나야 나♬＞ 특집 260429 방송 #이종혁 #유선 #전소미 #이대휘,80,longform,85868,1030,55,1.1995,0.0641
라디오스타,CrQhQ6kV_hY,"춘봉, 첨지, 칠복 토크 지분율 90% ㅋㅋ 고팔남 송하빈 공중파 진출! | #라디오스타 #송하빈 MBC260422방송",1030,longform,590560,10516,677,1.7807,0.1146
라디오스타,lrIkd81dceU,찬형&찬호가 안 받아줘서 라스 와서 말 많아진 TMT 아빠 류진 | #라디오스타 #류진 MBC260423방송,1303,longform,102883,820,67,0.797,0.0651
라디오스타,iAJadQonkvY,[라디오스타 선공개] 아빠! 어디가? 찬형 찬호도 질색하는 아빠 류진의 신조어 폭격기 | MBC 260422 방송,109,longform,1977,26,7,1.3151,0.3541
라디오스타,u6h1de0Ua3c,'삐딱하게' 부르는 윙 #라디오스타,45,shortform,384397,2468,48,0.642,0.0125
라디오스타,uBe0JhD67dk,비트박스로 못내는 소리가 없음 #라디오스타,51,shortform,2616460,17964,401,0.6866,0.0153
라디오스타,seVlpjAxcXU,광고까지 섭렵한 윙 #라디오스타,44,shortform,827199,5745,142,0.6945,0.0172
라디오스타,aORRiGs4lpY,여전히 말실수 많으신 우럭여사 #라디오스타,38,shortform,149020,659,21,0.4422,0.0141
라디오스타,k3vPNbbcOV8,야 너 내 팬이라매 #라디오스타,56,shortform,153751,433,13,0.2816,0.0085
라디오스타,NiOaf3LdCz8,뭐가 살쪄에 이은 뭐가 간단해 #라디오스타,59,shortform,868864,6498,178,0.7479,0.0205
라디오스타,X62OfTW7M4Y,마이크 테스트 비트박스로 해버린 윙 #라디오스타,50,shortform,565310,2541,49,0.4495,0.0087
나혼자산다,bIU6qm2DXj0,"[나 혼자 산다 선공개] 야구 좀 봐라!💢 보양을 위해 쉴 새 없이 떡볶이에 몰두하는 김신영, MBC 260515 방송",273,longform,291124,2532,305,0.8697,0.1048
