collected_date,video_id,title,channel,duration_seconds,format_type,view_count,like_count,comment_count
2026-05-16,vMHpQH7pbjg,heaven and hell,wave to earth - Topic,269,longform,152630,3944,180
2026-05-16,xy4M41JVyTI,"나도 알아, 내가 변한 거 | [골드랜드] 7-8회 예고편 | 디즈니+",Disney Plus Korea 디즈니 플러스 코리아,64,shortform,34968,326,107
2026-05-16,alqSdyRor7c,창작의 고통,괴물쥐 유튜브,1812,longform,439121,2267,400
2026-05-16,gVfT_J9faeQ,Fate Line,Wooseok Byeon - Topic,218,longform,108506,6897,0
2026-05-16,mPQK8TG80II,호러무비 [짱구는 못말려: 아미고] 예고편,고뚜기,68,shortform,356579,10232,690
2026-05-16,0WxtgN5yCyQ,"옛날메이플(플래닛) : 큰손 형님들 덕분에 미친 바지 가져왔습니다! ㄷㄷ [팡이요,  메이플스토리:플래닛]",팡이요,949,longform,250603,936,131
2026-05-16,dv1p4c1mwa0,Hit the Wall,Gracie Abrams - Topic,195,longform,297468,8848,262
2026-05-16,YDLOo86fUfI,인방전사 ▶ 인방법사,동수칸TV,2170,longform,268393,1704,261
2026-05-16,hGqYdubpcCM,Heavy Serenade,NMIXX - Topic,180,shortform,2402771,32230,570
2026-05-16,OcME_Cntz2M,끝나지 않는 제 5회 후열의 밤,왈도쿤,5337,longform,273134,9093,1434
2026-05-16,uxNuuys19XE,Make Them Cry,Drake - Topic,308,longform,4162603,138161,11896
2026-05-16,GDjWvfI9ZjA,리니지 클래식 미확인 + 8 싸울아비 장검,이문주,19174,longform,153375,1197,0
2026-05-16,ZAsxW7bkK-A,WDA (Whole Different Animal) (feat. G-DRAGON),aespa - Topic,174,shortform,2759133,44015,1341
2026-05-16,jhB1jzCmcTA,하드코어에서 새로운 아기몹 36종 전부 모으기,프뚜,2006,longform,102146,2652,466
2026-05-16,VQ-z0VGRVm4,사이먼 도미닉 (Simon Dominic) - '느껴 (Feat. Masta Wu)' MV,SIMON DOMINIC,205,longform,296966,9262,1395
2026-05-16,egSp3YPvILc,건축하랬더니 게임을 만들어와? [건축 콘테스트],말왕TV,1477,longform,184179,3348,298
2026-05-16,HTTQVgGc1sY,And Now,JINYOUNG - Topic,68,shortform,155472,1507,64
2026-05-16,JKCQw6J0Fzo,현존 최강무기 람피온 큐브 멸망전 레전드 옵션 떴냐!!! [메이플 플래닛 7화/옛날 메이플],채널 명예훈장,2153,longform,111797,356,100
2026-05-16,3wjCZxNPtXE,[MV] Wooseok Byeon(변우석) _ Fate Line(평행선)(Perfect Crown(21세기 대군부인) OST Part.11),1theK (원더케이),223,longform,62910,6535,372
2026-05-16,DP0jMluBU9Q,[리니지클래식] 25화. 남자는 삼세번 (ft.싸울아비 장검),불도그,929,longform,176796,1675,477
2026-05-16,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,189,longform,12883568,456720,30321
2026-05-16,ltlBd7BE5kQ,이건 사야해..!! 배그 낭만의 할리스킨 출시 83만원이 공중분해 ㅋㅋ 형 이중가챠 없애줘,김블루,784,longform,75659,1651,120
2026-05-16,iqtv43YR7oI,YOUNITE 'POSE! (姿態)' M/V,YOUNITE,190,longform,3237398,0,1333
2026-05-16,C4GOeC8ooZQ,태고족 우두머리 VS AD 400 쮺검 평궁공주,팔차선 [8LJAYWALKING],1112,longform,162385,1017,142
2026-05-16,pthU5cN8V4c,Choreography｜BOYNEXTDOOR (보이넥스트도어) ‘똑똑똑’ Dance Practice,BOYNEXTDOOR,160,shortform,179318,22945,926
2026-05-16,BDayJFgdgrI,162렙에 럭세 던지는 나이트로드가 있다,수찬 Suchan,657,longform,128905,377,82
2026-05-16,adE8jVLoLPo,ピノキオピー - 歌姫失格 feat. 初音ミク / Rejected Diva,ピノキオピー PINOCCHIOP OFFICIAL CHANNEL,202,longform,488174,63567,3239
2026-05-16,g8xMmGnkFdI,GE vs FS / T1 vs PRX - VCT 퍼시픽 - 스테이지 1 - 플레이오프 -  결승직행전 / 하위조 준결승,발로란트 챔피언스 투어,24079,longform,229013,1974,38
2026-05-16,HjxZvWCcfy8,STARSTRUCK,FIFTY FIFTY - Topic,178,shortform,42106,1725,131
2026-05-16,QcTK_Ct7nUc,"""6단 피흡🩸"" 흡혈 신발로 결국 좀비가 되어버린 ""탑 오버파밍 케인 전략"" ",전략적죽음,1819,longform,118973,971,100
2026-05-16,xYFqy66_K9M,Us,NOWZ - Topic,215,longform,102892,3329,58
2026-05-16,-G6SLacQdLI,이딴 게임은 왜 만드는걸까?,혜안,853,longform,109281,8025,861
2026-05-16,FKaESb9DTSM,씨야(SEEYA) - Stay｜야외녹음실｜Beyond the Studio｜남규리 김연지 이보람｜LIVE,1theK Live - 원더케이 라이브,245,longform,50280,2378,458
2026-05-16,x1Qi_EwClf4,리니지 클래식 +9 싸울아비 장검,카르마 Karma,7965,longform,53902,1703,149
2026-05-16,hJzKvhjv7XQ,No Bad Grades,Young Roddo - Topic,112,shortform,160368,7051,51
2026-05-16,Co5w_H9ICEw,역대급 *대규모 인원* 12명이 함께하는 기차 마피아,잠뜰 TV,1845,longform,43298,6457,949
